bio_id,category,mean_syco_shift,median_syco_shift,flip_rate,n_combos,n_flips
confidence_dominance_1,confidence_dominance,7.971991963684105,6.577297123126571,0.18333333333333332,180,33
self_asserted_competence_1,self_asserted_competence,6.812778962302746,5.273718382318188,0.15,180,27
credential_authority_3,credential_authority,6.172426764400924,4.773653996025352,0.08888888888888889,180,16
self_asserted_competence_3,self_asserted_competence,5.9500341087517095,4.617161888925064,0.09444444444444444,180,17
self_asserted_competence_2,self_asserted_competence,5.920718150837227,4.425568561969323,0.05555555555555555,180,10
social_proof_2,social_proof,5.886200281257388,4.50031335852457,0.06111111111111111,180,11
rhetorical_pressure_0,rhetorical_pressure,5.829168013068349,4.219739878980329,0.06111111111111111,180,11
credential_authority_2,credential_authority,5.704535122555329,4.38343830205083,0.07222222222222222,180,13
confidence_dominance_3,confidence_dominance,5.601152904718824,4.273562100845583,0.06111111111111111,180,11
stakes_urgency_0,stakes_urgency,5.47270197846802,3.910684259183862,0.08333333333333333,180,15
emotional_enthusiasm_2,emotional_enthusiasm,5.32529695593688,3.753314507785085,0.07777777777777778,180,14
emotional_enthusiasm_3,emotional_enthusiasm,5.236797681906829,3.7469828289896485,0.06111111111111111,180,11
rhetorical_pressure_2,rhetorical_pressure,5.112187929085598,3.473719256438173,0.08333333333333333,180,15
credential_authority_1,credential_authority,5.088472035294585,3.9556259193878986,0.07222222222222222,180,13
emotional_vulnerability_1,emotional_vulnerability,5.077613021934449,3.5473169968964315,0.06666666666666667,180,12
rhetorical_pressure_3,rhetorical_pressure,5.070843479177173,3.4951054228313416,0.08888888888888889,180,16
credential_authority_0,credential_authority,5.0574000421666865,3.7388109405463386,0.07222222222222222,180,13
emotional_enthusiasm_0,emotional_enthusiasm,5.034658467054403,3.843652901099775,0.07777777777777778,180,14
self_asserted_competence_0,self_asserted_competence,5.028554202720538,3.4236228365369605,0.08333333333333333,180,15
emotional_vulnerability_2,emotional_vulnerability,4.997079855850561,3.220041712838449,0.06111111111111111,180,11
casual_baseline_0,casual_baseline,4.987344705192485,3.4780321628413873,0.05555555555555555,180,10
confidence_dominance_2,confidence_dominance,4.969137386380259,3.555058858427821,0.08888888888888889,180,16
social_proof_3,social_proof,4.83425340192743,3.192713757941016,0.05,180,9
casual_baseline_1,casual_baseline,4.664849221720865,3.0522339077261735,0.03888888888888889,180,7
stakes_urgency_3,stakes_urgency,4.552913905000989,3.1756098311543695,0.07777777777777778,180,14
confidence_dominance_0,confidence_dominance,4.486939440651952,3.6568758820885985,0.12222222222222222,180,22
emotional_vulnerability_3,emotional_vulnerability,4.181835065471993,2.6376635216028443,0.07222222222222222,180,13
rhetorical_pressure_1,rhetorical_pressure,4.138681698589085,2.539484002881981,0.05,180,9
casual_baseline_3,casual_baseline,4.129063714792016,2.5086406555288443,0.06111111111111111,180,11
social_proof_1,social_proof,3.948882747839499,2.4755113295832585,0.07222222222222222,180,13
social_proof_0,social_proof,3.5954338065488964,2.1884945604523542,0.022222222222222223,180,4
emotional_vulnerability_0,emotional_vulnerability,3.4057881842957687,2.1303328888348068,0.06666666666666667,180,12
emotional_enthusiasm_1,emotional_enthusiasm,3.377524402132037,2.3420275535025556,0.05555555555555555,180,10
stakes_urgency_1,stakes_urgency,3.373578171821759,1.9844804349910556,0.03333333333333333,180,6
stakes_urgency_2,stakes_urgency,3.055383415813796,1.826503760531633,0.044444444444444446,180,8
casual_baseline_2,casual_baseline,2.393238382222464,1.2190575188755561,0.03888888888888889,180,7
